0.040000,0.300000,0.330000,
0.560000,0.030000,0.390000,
0.110000,0.190000,0.170000,
0.270000,0.430000,0.560000,
0.360000,0.350000,0.130000,
0.010000,0.220000,0.530000,
0.340000,0.260000,0.280000,
0.540000,0.520000,0.090000,
0.150000,0.190000,0.100000,
0.220000,0.330000,0.560000,

0.040000,0.300000,0.330000,
0.560000,0.030000,0.390000,
0.110000,0.190000,0.170000,
0.270000,0.430000,0.560000,
0.360000,0.350000,0.130000,
0.010000,0.220000,0.530000,
0.340000,0.260000,0.280000,
0.540000,0.520000,0.090000,
0.150000,0.190000,0.100000,
0.220000,0.330000,0.560000,

0.040000,0.300000,0.330000,
0.560000,0.030000,0.390000,
0.110000,0.190000,0.170000,
0.270000,0.430000,0.560000,
0.360000,0.350000,0.130000,
0.010000,0.220000,0.530000,
0.340000,0.260000,0.280000,
0.540000,0.520000,0.090000,
0.150000,0.190000,0.100000,
0.220000,0.330000,0.560000,

0.040000,0.300000,0.330000,
0.560000,0.030000,0.390000,
0.110000,0.190000,0.170000,
0.270000,0.430000,0.560000,
0.360000,0.350000,0.130000,
0.010000,0.220000,0.530000,
0.340000,0.260000,0.280000,
0.540000,0.520000,0.090000,
0.150000,0.190000,0.100000,
0.220000,0.330000,0.560000,

0.040000,0.300000,0.330000,
0.560000,0.030000,0.390000,
0.110000,0.190000,0.170000,
0.270000,0.430000,0.560000,
0.360000,0.350000,0.130000,
0.010000,0.220000,0.530000,
0.340000,0.260000,0.280000,
0.540000,0.520000,0.090000,
0.150000,0.190000,0.100000,
0.220000,0.330000,0.560000,

0.040000,0.300000,0.330000,
0.560000,0.030000,0.390000,
0.110000,0.190000,0.170000,
0.270000,0.430000,0.560000,
0.360000,0.350000,0.130000,
0.010000,0.220000,0.530000,
0.340000,0.260000,0.280000,
0.540000,0.520000,0.090000,
0.150000,0.190000,0.100000,
0.220000,0.330000,0.560000,

0.040000,0.300000,0.330000,
0.560000,0.030000,0.390000,
0.110000,0.190000,0.170000,
0.270000,0.430000,0.560000,
0.360000,0.350000,0.130000,
0.010000,0.220000,0.530000,
0.340000,0.260000,0.280000,
0.540000,0.520000,0.090000,
0.150000,0.190000,0.100000,
0.220000,0.330000,0.560000,

0.040000,0.300000,0.330000,
0.560000,0.030000,0.390000,
